nome,preco,imagem,category_id,estoque
Brinquedo Chalesco Macaco Pelúcia Marrom para Cães,32.29,https://images.petz.com.br/fotos/1688143004271.jpg,1,20
Brinquedo Napi Mordedor Galinha para Cães,6.29,https://images.petz.com.br/fotos/1600364353771.jpg,1,20
Brinquedo e Comedouro Pet Games Labirinto Verde Água para Cães e Gatos,40.79,https://images.petz.com.br/fotos/1673871751345.jpg,1,20
Brinquedo Líder Pet Bola Cravo para Cães - Cores Sortidas,7.99,https://images.petz.com.br/fotos/1582822321392.jpg,1,20
Brinquedo Chalesco Sapo para Cães,30.79,https://images.petz.com.br/fotos/1600098095661.jpg,1,20
Brinquedo Chalesco Dental Bone Médio para Cães - Cores Sortidas,11.89,https://images.petz.com.br/fotos/1606160818082.jpg,1,20
Brinquedo Amicus WoodnPets Sustentável para Cães,24.49,https://images.petz.com.br/fotos/10037080003670_1730985660699.jpg,1,20
Brinquedo Chalesco Forca com Bola de Tênis para Cães - Cores Sortidas,23.09,https://images.petz.com.br/fotos/1606163316924.jpg,1,20
Brinquedo Chalesco Pelúcia Manopla para Cães,20.99,https://images.petz.com.br/fotos/1457722171498.jpg,1,20
Brinquedo Chalesco Sweet Dog para Cães e Gatos,32.99,https://images.petz.com.br/fotos/1640608392754.jpg,1,20
