nome,preco,imagem,category_id,estoque
Brinquedo Chalesco Varinha com Pena e Guizo para Gatos - Cores Sortidas,10.99,https://images.petz.com.br/fotos/1613486435135.jpg,2,30
Catnip Chalesco Erva para Gatos,23.99,https://images.petz.com.br/fotos/1589812011177.jpg,2,30
Brinquedo e Comedouro Pet Games Labirinto Verde Água para Cães e Gatos,40.79,https://images.petz.com.br/fotos/1673871751345.jpg,2,30
Catnip Cansei de Ser Gato 2 g,11.99,https://images.petz.com.br/fotos/1723055351577.jpg,2,30
Brinquedo Chalesco Ratinhos para Gatos,18.99,https://images.petz.com.br/fotos/1688064311183.jpg,2,30
Brinquedo Chalesco Sweet Dog para Cães e Gatos,32.99,https://images.petz.com.br/fotos/1640608392754.jpg,2,30
Arranhador de Rampa Furacão Pet para gatos,59.99,https://images.petz.com.br/fotos/1502917134500.jpg,2,30
Brinquedo Chalesco Sweet Patinho para Cães e Gatos,32.99,https://images.petz.com.br/fotos/1640609163830.jpg,2,30
Brinquedo Pawise Ratinho Caddice para Gatos - Cores Sortidas,5.59,https://images.petz.com.br/fotos/1592484863073.jpg,2,30
Brinquedo Petz Varinha para Gatos - Cores Sortidas,17.49,https://images.petz.com.br/fotos/1725983239189.jpg,2,30
